Date,City,Latitude,Longitude,Solar_Radiation_kWh_m2_day,Temperature_C,Relative_Humidity_pct,Wind_Speed_2m_m_s
2015-01-01,Sanaa,15.3694,44.191,6.0946,11.26,19.33,2.34
2015-01-02,Sanaa,15.3694,44.191,6.0586,11.04,22.29,2.4
2015-01-03,Sanaa,15.3694,44.191,6.0036,11.79,19.43,2.18
2015-01-04,Sanaa,15.3694,44.191,5.9806,12.89,29.51,1.79
2015-01-05,Sanaa,15.3694,44.191,5.9206,12.88,46.56,2.16
2015-01-06,Sanaa,15.3694,44.191,5.9249,13.69,17.35,1.28
2015-01-07,Sanaa,15.3694,44.191,5.9086,14.36,16.82,1.43
2015-01-08,Sanaa,15.3694,44.191,5.8687,14.17,43.04,2.03
2015-01-09,Sanaa,15.3694,44.191,5.8608,15.29,34.59,1.2
2015-01-10,Sanaa,15.3694,44.191,5.4425,14.64,61.53,2.61
2015-01-11,Sanaa,15.3694,44.191,4.5526,13.75,62.18,1.86
2015-01-12,Sanaa,15.3694,44.191,4.7762,12.89,55.76,2.78
2015-01-13,Sanaa,15.3694,44.191,5.0825,11.02,58.89,2.87
2015-01-14,Sanaa,15.3694,44.191,5.6962,12.25,48.94,2.17
2015-01-15,Sanaa,15.3694,44.191,5.7418,13.49,37.02,1.7
2015-01-16,Sanaa,15.3694,44.191,5.8846,14.63,29.92,1.36
2015-01-17,Sanaa,15.3694,44.191,5.807,15.18,26.82,1.02
2015-01-18,Sanaa,15.3694,44.191,5.7703,14.83,57.79,2.0
2015-01-19,Sanaa,15.3694,44.191,4.7532,13.06,62.73,1.97
2015-01-20,Sanaa,15.3694,44.191,4.7695,12.14,55.39,1.47
2015-01-21,Sanaa,15.3694,44.191,5.5538,12.91,43.48,1.63
2015-01-22,Sanaa,15.3694,44.191,6.0072,12.53,31.4,1.41
2015-01-23,Sanaa,15.3694,44.191,6.0557,12.86,23.7,1.63
2015-01-24,Sanaa,15.3694,44.191,6.251,12.37,17.49,1.6
